STT,Tên chuyên ngành đào tạo,Nghiên cứu,Ứng dụng,CLC theo đặc thù đơn vị,Tổng
8,Khoa Luật,9.0,5.0,0,14.0
1,Lí luận và lịch sử nhà nước và pháp luật,1.0,1.0,,2.0
2,Luật dân sự và tố tụng dân sự,1.0,1.0,,2.0
3,Luật hình sự và tố tụng hình sự,1.0,1.0,,2.0
4,Luật kinh tế,1.0,1.0,,2.0
5,Luật quốc tế,1.0,,,1.0
6,Luật hiến pháp và luật hành chính,1.0,1.0,,2.0
7,Pháp luật về quyền con người,1.0,,,1.0
8,Luật biển và quản lí biển,1.0,,,1.0
9,"Quản trị nhà nước và phòng, chống tham nhũng",1.0,,,1.0
9,Khoa Quản trị và Kinh doanh,2.0,0.0,2,2.0
1,Quản trị kinh doanh,1.0,,x,1.0
2,Quản trị an ninh phi truyền thống,1.0,,x,1.0
10,Khoa Các khoa học liên ngành,3.0,2.0,0,5.0
1,Biến đổi khí hậu,1.0,1.0,,2.0
2,Khoa học bền vững,1.0,,,1.0
3,Quản lí phát triển đô thị,,1.0,,1.0
4,Di sản học,1.0,,,1.0
11,Khoa Quốc tế,1.0,0.0,1,1.0
1,Quản trị tài chính,1.0,,x,1.0
12,Viện Quốc tế Pháp ngữ,2.0,0.0,0,2.0
1,Hệ thống thông minh và đa phương tiện,1.0,,,1.0
2,Truyền dữ liệu và mạng máy tính,1.0,,,1.0
TỔNG,TỔNG,149.0,38.0,5,187.0
Trang chủ > ĐÀO TẠO > Chương trình đào tạo thạc sĩ,,,,,
"Danh mục các chương trình đào tạo thạc sÄ© tại ĐHQGHN (Cập nhật tháng 2/2020) STT Tên chuyên ngành đào tạo Nghiên cứu Ứng dụng CLC theo đặc thù đơn vị Tổng 1 Trường Đại học Khoa học Tá»± nhiên 47 4 0 51 1 Toán giải tích 1 1 2 Đại số và lí thuyết số 1 1 3 Hình học - tôpô 1 1 4 Lí thuyết xác suất và thống kê toán học 1 1 5 Toán ứng dụng 1 1 6 CÆ¡ sở toán cho tin học 1 1 7 Phương pháp toán sÆ¡ cấp 1 1 8 CÆ¡ học vật rắn 1 1 9 CÆ¡ học chất lỏng và chất khí 1 1 10 Vật lí lí thuyết và vật lí toán 1 1 11 Vật lí vô tuyến và điện tá»­ 1 1 12 Vật lí nguyên tá»­ và hạt nhân 1 1 13 Vật lí chất rắn 1 1 14 Quang học 1 1 15 Vật lí địa cầu 1 1 16 Vật lí nhiệt 1 1 17 Hóa vô cÆ¡ 1 1 18 Hóa hữu cÆ¡ 1 1 19 Hóa phân tích 1 1 20 Hóa lí thuyết và hóa lí 1 1 21 KÄ© thuật hóa học 1 1 22 Hóa môi trường 1 1 23 Hóa dầu 1 1 24 Động vật học 1 1 25 Thá»±c vật học 1 1 26 Sinh học thá»±c nghiệm 1 1 27 Vi sinh vật học 1 1 28 Thá»§y sinh vật học 1 1 29 Sinh thái học 1 1 30 Di truyền học 1 1 31 Công nghệ sinh học 1 1 32 Địa lí tá»± nhiên 1 1 33 Địa mạo và cổ địa lí 1 1 34 Bản đồ, viễn thám hệ thông tin địa lí 1 1 35 Địa lí học 1 1 36 Quản lí tài nguyên và môi trường 1 1 2 37 Quản lí đất đai 1 1 2 38 Địa chất học 1 1 39 Thạch học khoáng vật và địa hóa 1 1 40 Địa chất môi trường 1 1 41 Khí tượng học 1 1 42 Thá»§y văn học 1 1 43 Hải dương học 1 1 44 Khoa học môi trường 1 1 45 Môi trường và phát triển bền vững 1 1 2 46 KÄ© thuật môi trường 1 1 47 Khoa học đất 1 1 48 Khoa học dữ liệu 1 1 2 Trường Đại học Khoa học Xã hội và Nhân văn 35 8 0 43 1 Lí luận, lịch sá»­ điện ảnh, truyền hình 1 1 2 Việt Nam học 1 1 3 Lí luận văn học 1 1 4 Văn học Việt Nam 1 1 5 Văn học dân gian 1 1 6 Văn học nước ngoài 1 1 7 Hán Nôm 1 1 8 Ngôn ngữ học 1 1 9 Triết học 1 1 10 Chá»§ nghÄ©a xã hội khoa học 1 1 11 Tôn giáo học 1 1 2 12 Xã hội học 1 1 13 Tâm lí học 1 1 14 Tâm lí học lâm sàng 1 1 15 Chính trị học 1 1 2 16 Hồ Chí Minh học 1 1 17 Lịch sá»­ thế giới 1 1 18 Lịch sá»­ Việt Nam 1 1 19 Lịch sá»­ Đảng Cộng sản Việt nam 1 1 20 Lịch sá»­ sá»­ học và sá»­ liệu học 1 1 21 Khảo cổ học 1 1 22 Lịch sá»­ văn hóa Việt Nam 1 1 23 Châu Á học 1 1 24 Quan hệ quốc tế 1 1 25 Nhân học 1 1 26 Báo chí học 1 1 2 27 Khoa học Thông tin – Thư viện 1 1 2 28 Lưu trữ học 1 1 2 29 Quản trị văn phòng 1 1 30 Quản lí khoa học và công nghệ 1 1 2 31 Du lịch 1 1 32 Khoa học quản lí 1 1 33 Công tác xã hội 1 1 2 34 Chính sách công 1 1 35 Quản lí văn hóa 1 1 36 Quản trị báo chí truyền thông 1 1 3 Trường Đại học Ngoại ngữ 11 9 0 20 1 Ngôn ngữ Anh 1 1 2 2 Lí luận và phương pháp dạy học bộ môn Tiếng Anh 1 1 2 3 Ngôn ngữ Nga 1 1 2 4 Lí luận và phương pháp dạy học bộ môn Tiếng Nga 1 1 2 5 Ngôn ngữ Pháp 1 1 2 6 Lí luận và phương pháp dạy học bộ môn Tiếng Pháp 1 1 2 7 Ngôn ngữ Trung Quốc 1 1 2 8 Lí luận và phương pháp dạy học bộ môn Tiếng Trung Quốc 1 1 2 9 Ngôn ngữ Nhật 1 1 10 Ngôn ngữ Đức 1 1 11 Ngôn ngữ Hàn Quốc 1 1 2 4 Trường Đại học Công nghệ 12 0 0 12 1 Khoa học máy tính 1 1 2 KÄ© thuật phần mềm 1 1 3 Mạng máy tính và truyền thông dữ liệu 1 1 4 Hệ thống thông tin 1 1 5 KÄ© thuật điện tá»­ 1 1 6 KÄ© thuật viễn thông 1 1 7 CÆ¡ kÄ© thuật 1 1 8 KÄ© thuật cÆ¡ điện tá»­ 1 1 9 Vật liệu và linh kiện nano 1 1 10 Công nghệ nano sinh học 1 1 11 Quản lí hệ thống thông tin 1 1 12 An toàn thông tin 1 1 5 Trường Đại học Kinh tế 8 6 2 14 1 Kinh tế chính trị 1 1 2 2 Kinh tế quốc tế 1 1 2 3 Quản trị kinh doanh 1 1 2 4 Tài chính – Ngân hàng 1 1 2 5 Quản lí kinh tế 1 1 6 Kinh tế biển 1 x 1 7 Quản trị các tổ chức tài chính 1 x 1 8 Quản lí công (chương trình liên kết đào tạo quốc tế do ĐHQGHN cấp bằng) 1 1 9 Chính sách công và phát triển 1 1 10 Kế toán 1 1 6 Trường Đại học Giáo dục 11 4 0 15 1 Lí luận và phương pháp dạy học bộ môn Toán 1 1 2 Lí luận và phương pháp dạy học bộ môn Vật lí 1 1 3 Lí luận và phương pháp dạy học bộ môn Hóa học 1 1 4 Lí luận và phương pháp dạy học bộ môn Sinh học 1 1 5 Lí luận và phương pháp dạy học bộ môn Ngữ văn 1 1 6 Lí luận và phương pháp dạy học bộ môn Lịch sá»­ 1 1 7 Quản lí giáo dục 1 1 2 8 Tâm lí học lâm sàng trẻ em và vị thành niên 1 1 9 Đo lường và đánh giá trong giáo dục 1 1 2 10 Quản trị trường học 1 1 2 11 Tham vấn học đường 1 1 2 7 Trường Đại học Việt Nhật 8 0 0 8 1 Quản trị kinh doanh 1 1 2 KÄ© thuật môi trường 1 1 3 Chính sách công 1 1 4 KÄ© thuật hạ tầng 1 1 5 Công nghệ nano 1 1 6 Khu vá»±c học 1 1 7 Biến đổi khí hậu và phát triển 1 1 8 Lãnh đạo toàn cầu 1 1 8 Khoa Luật 9 5 0 14 1 Lí luận và lịch sá»­ nhà nước và pháp luật 1 1 2 2 Luật dân sá»± và tố tụng dân sá»± 1 1 2 3 Luật hình sá»± và tố tụng hình sá»± 1 1 2 4 Luật kinh tế 1 1 2 5 Luật quốc tế 1 1 6 Luật hiến pháp và luật hành chính 1 1 2 7 Pháp luật về quyền con người 1 1 8 Luật biển và quản lí biển 1 1 9 Quản trị nhà nước và phòng, chống tham nhÅ©ng 1 1 9 Khoa Quản trị và Kinh doanh 2 0 2 2 1 Quản trị kinh doanh 1 x 1 2 Quản trị an ninh phi truyền thống 1 x 1 10 Khoa Các khoa học liên ngành 3 2 0 5 1 Biến đổi khí hậu 1 1 2 2 Khoa học bền vững 1 1 3 Quản lí phát triển đô thị 1 1 4 Di sản học 1 1 11 Khoa Quốc tế 1 0 1 1 1 Quản trị tài chính 1 x 1 12 Viện Quốc tế Pháp ngữ 2 0 0 2 1 Hệ thống thông minh và đa phương tiện 1 1 2 Truyền dữ liệu và mạng máy tính 1 1 TỔNG 149 38 5 187 Thế Vinh  In bài viết Gá»­i cho bạn bè  Từ khóa : Thông tin liên quan  Danh mục chuyên ngành đào tạo thạc sÄ© cá»§a ĐHQGHN giai đoạn 2014-2020 (12/03/2015)  Chương trình đào tạo Thạc sÄ© (14/10/2013)  Chương trình đào tạo thạc sÄ© (08/11/2012)  Các ngành, chuyên ngành đào tạo sau đại học cá»§a Trường Đại học Khoa học Xã hội và Nhân văn (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Trường Đại học Kinh tế (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Khoa Luật (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Trường Đại học Khoa học Tá»± nhiên (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Trường Đại học Công nghệ (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Trường Đại học Giáo dục (14/07/2011)  Các ngành, chuyên ngành đào tạo sau đại học ở Trường Đại học Ngoại ngữ (14/07/2011)  Trang:  1| 2| 3| 4| 5| 6| 7| 8| 9| 10| 11| 12| 13| 14|",,,,,
